Countries and areas,Child labour (%)+2005–2012*_total,Child labour (%)+2005–2012*_male,Child labour (%)+2005–2012*_female,Child marriage (%)2005–2012*_married by 15,Child marriage (%)2005–2012*_married by 18,Birth registration (%)+2005–2012*_total,Female genital mutilation/cutting (%)+2002–2012*_prevalence_womena  ,Female genital mutilation/cutting (%)+2002–2012*_prevalence_girlsb ,Female genital mutilation/cutting (%)+2002–2012*_attitudes_support for the practicec,Justification of wife beating (%) 2005–2012*_male,Justification of wife beating (%) 2005–2012*_female,Violent discipline (%)+2005–2012*_total,Violent discipline (%)+2005–2012*_male,Violent discipline (%)+2005–2012*_female
Afghanistan,10,11,10,15,40,37,,,,,90,74,75,74
Albania,12,14,9,0,10,99,,,,36,30,75,78,71
Algeria,5,6,4,0,2,99,,,,,68,88,89,87
Andorra,,,,,,100,,,,,,,,
Angola,24,22,25,,,36,,,,,,,,
Argentina,7,8,5,,,99,,,,,,,,
Armenia,4,5,3,0,7,100,,,,20,9,70,72,67
Australia,,,,,,100,,,,,,,,
Austria,,,,,,100,,,,,,,,
Azerbaijan,7,8,5,1,12,94,,,,58,49,75,79,71
Bahrain,5,6,3,,,,,,,,,,,
Bangladesh,13,18,8,29,65,31,,,,,33,,,
Belarus,1,1,2,0,3,100,,,,4,4,65,67,62
Belgium,,,,,,100,,,,,,,,
Belize,6,7,5,3,26,95,,,,,9,71,71,70
Benin,46,47,45,8,34,80,13,2,1,14,47,,,
Bhutan,3,3,3,6,26,100,,,,,68,,,
Bolivia (Plurinational State of),26,28,24,3,22,76,,,,,16,,,
Bosnia and Herzegovina,5,7,4,0,4,100,,,,6,5,55,60,50
Botswana,9,11,7,,,72,,,,,,,,
Brazil,9,11,6,11,36,93,,,,,,,,
Bulgaria,,,,,,100,,,,,,,,
Burkina Faso,39,42,36,10,52,77,76,13,9,34,44,83,84,82
Burundi,26,26,27,3,20,75,,,,44,73,,,
Cabo Verde,3,4,3,3,18,91,,,,16,17,,,
Cambodia,36,36,36,2,18,62,,,,22,46,,,
Cameroon,42,43,40,13,38,61,1,1,7,39,47,93,93,93
Canada,,,,,,100,,,,,,,,
Central African Republic,29,27,30,29,68,61,24,1,11,80,80,92,92,92
Chad,26,25,28,29,68,16,44,18,38,,62,84,85,84
Chile,3,3,2,,,100,,,,,,,,
Colombia,13,17,9,6,23,97,,,,,,,,
Comoros,27,26,28,,,88,,,,,,,,
Congo,25,24,25,7,33,91,,,,,76,,,
Costa Rica,5,6,3,,,,,,,,,,,
Côte d’Ivoire,26,25,28,10,33,65,38,10,14,42,48,91,91,91
Cuba,,,,9,40,100,,,,,,,,
Cyprus,,,,,,100,,,,,,,,
Czech Republic,,,,,,100,,,,,,,,
Democratic People’s Republic of Korea,,,,,,100,,,,,,,,
Democratic Republic of the Congo,15,13,17,9,39,28,,,,,76,92,92,91
Denmark,,,,,,100,,,,,,,,
Djibouti,8,8,8,2,5,92,93,49,37,,,72,73,71
Dominican Republic,13,18,8,12,41,82,,,,,4,67,69,65
Ecuador,8,7,8,4,22,90,,,,,,,,
Egypt,9,14,4,2,17,99,91,17,54,,39,91,92,90
El Salvador,10,,,5,25,99,,,,,,,,
Equatorial Guinea,28,28,28,,,37,,,,,,,,
Eritrea,,,,20,47,,89,63,49,,71,,,
Estonia,,,,,,100,,,,,,,,
Ethiopia,27,31,24,16,41,7,74,24,31,45,68,,,
Fiji,,,,,,,,,,,,72,,
Finland,,,,,,100,,,,,,,,
France,,,,,,100,,,,,,,,
Gabon,13,15,12,6,22,90,,,,40,50,,,
Gambia,19,21,18,7,36,53,76,56,64,,75,90,90,91
Georgia,18,20,17,1,14,99,,,,,7,67,70,63
Germany,,,,,,100,,,,,,,,
Ghana,34,34,34,5,21,63,4,1,2,26,44,94,94,94
Greece,,,,,,100,,,,,,,,
Guatemala,26,35,16,7,30,97,,,,,,,,
Guinea,40,40,40,20,63,43,96,57,69,,86,,,
Guinea-Bissau,38,40,36,7,22,24,50,39,34,,40,82,82,81
Guyana,16,17,16,6,23,88,,,,19,16,76,79,74
Haiti,24,25,24,3,18,80,,,,15,17,86,87,85
Honduras,16,16,15,8,34,94,,,,10,12,,,
Hungary,,,,,,100,,,,,,,,
Iceland,,,,,,100,,,,,,,,
India,12,12,12,18,47,41,,,,51,54,,,
Indonesia,7,8,6,3,17,67,,,,17,35,,,
Iran (Islamic Republic of),11,13,10,3,17,99,,,,,,,,
Iraq,5,5,4,5,24,99,8,3,5,,51,79,81,77
Ireland,,,,,,100,,,,,,,,
Israel,,,,,,100,,,,,,,,
Italy,,,,,,100,,,,,,,,
Jamaica,6,7,5,1,9,98,,,,22,3,89,90,87
Japan,,,,,,100,,,,,,,,
Jordan,2,3,0,1,10,99,,,,,90,,,
Kazakhstan,2,2,2,0,6,100,,,,17,12,49,54,45
Kenya,26,27,25,6,26,60,27,8,10,44,53,,,
Kiribati,,,,3,20,94,,,,60,76,81,,
Kyrgyzstan,4,4,3,1,10,96,,,,,38,54,58,49
Lao People’s Democratic Republic,10,9,11,9,35,75,,,,49,58,76,77,74
Latvia,,,,,,100,,,,,,,,
Lebanon,2,3,1,1,6,100,,,,,10,82,82,82
Lesotho,23,25,21,2,19,45,,,,48,37,,,
Liberia,21,21,21,11,38,4,66,,45,30,59,94,94,94
Liechtenstein,,,,,,100,,,,,,,,
Lithuania,,,,,,100,,,,,,,,
Luxembourg,,,,,,100,,,,,,,,
Madagascar,28,29,27,14,48,80,,,,30,32,,,
Malawi,26,25,26,12,50,,,,,13,13,,,
Maldives,,,,0,4,93,,,,14,31,,,
Mali,21,22,21,15,55,81,89,74,73,,87,,,
Malta,,,,,,100,,,,,,,,
Marshall Islands,,,,6,26,96,,,,58,56,,,
Mauritania,15,14,15,14,34,59,69,54,41,,38,87,87,87
Mexico,6,7,5,5,23,93,,,,,,,,
Monaco,,,,,,100,,,,,,,,
Mongolia,10,10,11,0,5,99,,,,9,10,46,48,43
Montenegro,10,12,8,0,5,99,,,,,11,63,64,61
Morocco,8,9,8,3,16,94,,,,,64,91,92,90
Mozambique,22,21,24,14,48,48,,,,20,23,,,
Myanmar,,,,,,72,,,,,,,,
Namibia,,,,2,9,78,,,,41,35,,,
Nauru,,,,2,27,83,,,,,,,,
Nepal,34,30,38,10,41,42,,,,22,23,,,
Netherlands,,,,,,100,,,,,,,,
New Zealand,,,,,,100,,,,,,,,
Nicaragua,15,18,11,10,41,85,,,,,14,,,
Niger,43,43,43,36,75,32,2,1,3,,70,,,
Nigeria,25,24,25,20,39,42,27,14,21,,46,91,91,90
Norway,,,,,,100,,,,,,,,
Pakistan,,,,7,24,27,,,,,,,,
Panama,6,8,3,,,,,,,,,,,
Papua New Guinea,,,,2,21,,,,,,,,,
Paraguay,15,17,12,,18,76,,,,,,,,
Peru,34,31,36,3,19,96,,,,,,,,
Philippines,,,,2,14,90,,,,,14,,,
Poland,,,,,,100,,,,,,,,
Portugal,3,4,3,,,100,,,,,,,,
Republic of Moldova,16,20,12,1,19,100,,,,22,21,,,
Romania,1,1,1,,,,,,,,,,,
Russian Federation,,,,,,100,,,,,,,,
Rwanda,29,27,30,1,8,63,,,,25,56,,,
Samoa,,,,,,48,,,,46,61,,,
San Marino,,,,,,100,,,,,,,,
Sao Tome and Principe,8,8,7,5,34,75,,,,22,20,,,
Senegal,17,18,16,12,33,75,26,18,17,25,60,,,
Serbia,4,5,4,1,5,99,,,,7,3,67,70,64
Sierra Leone,26,27,25,18,44,78,88,13,66,,73,82,81,82
